link,from_version,to_version
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch13to17.exe,13,17
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch14to17.exe,14,17
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch15to17.exe,15,17
http://203.66.143.3/maplestory/download/MaplePatch17to18.exe,17,18
http://yesterday66.myweb.hinet.net/050908/MaplePatch17to18.exe,17,18
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch17to18.exe,17,18
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch13to19.exe,13,19
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch13to19.exe,13,19
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch14to19.exe,14,19
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch17to19.exe,17,19
http://203.66.143.3/maplestory/download/MaplePatch18to19.exe,18,19
http://203.66.143.4/maplestory/download/MaplePatch18to19.exe,18,19
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch18to19.exe,18,19
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch18to19.exe,18,19
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch18to19.exe,18,19
http://203.66.143.4/maplestory/download/MaplePatch20to21.exe,20,21
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch20to21.exe,20,21
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch20to21.exe,20,21
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch20to21.exe,20,21
http://203.66.143.4/maplestory/download/MaplePatch21to22.exe,21,22
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch21to22.exe,21,22
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch21to22.exe,21,22
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch21to22.exe,21,22
http://203.66.143.4/maplestory/download/MaplePatch22to23.exe,22,23
http://dl3.gamania.com/maplestory/download/MaplePatch22to23.exe,22,23
http://203.66.143.4/maplestory/download/MaplePatch23to24.exe,23,24
http://dl3.gamania.com/maplestory/download/MaplePatch23to24.exe,23,24
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch23to24.exe,23,24
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch23to24.exe,23,24
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch23to25.exe,23,25
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch23to25.exe,23,25
http://dl3.gamania.com/maplestory/download/MaplePatch24to25.exe,24,25
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch24to25.exe,24,25
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch26to27.exe,26,27
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch27to28.exe,27,28
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch27to28.exe,27,28
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch27to28.exe,27,28
